corpus,id,titulo
DJAVAN,07,Passou
DJAVAN,08,Azul
DJAVAN,09,Beiral
DJAVAN,10,Om
DJAVAN,11,Água
DJAVAN,12,Álibi
DJAVAN,13,Asa
DJAVAN,14,Meu
DJAVAN,15,Numa esquina de Hanói
DJAVAN,16,Topázio
DJAVAN,17,Nereci
DJAVAN,18,Samba dobrado
DJAVAN,19,Maçã
DJAVAN,20,Dupla traição
DJAVAN,21,Oceano
DJAVAN,22,Alagoas
DJAVAN,23,Estória de cantador
DJAVAN,24,Mal de mim
DJAVAN,25,Tem boi na linha
DJAVAN,26,Lambada de serpente
DJAVAN,27,Meu bem querer
DJAVAN,28,Aquele um
DJAVAN,29,Sururu de capote
DJAVAN,30,Pedro Brasil
DJAVAN,31,Seduzir
DJAVAN,32,Faltando um pedaço
DJAVAN,33,Samurai
DJAVAN,34,Luz
DJAVAN,35,Capim
DJAVAN,36,Sina
DJAVAN,37,Pétala
DJAVAN,38,Açaí
DJAVAN,39,Esfinge
DJAVAN,40,Tanta saudade
DJAVAN,41,Fato consumado
DJAVAN,42,Serrado
DJAVAN,43,Nobreza
DJAVAN,44,Joaninha
DJAVAN,45,Flor do medo
DJAVAN,46,Sílaba
DJAVAN,47,Que foi, my love
DJAVAN,48,Doidice
DJAVAN,49,Serene
DJAVAN,50,Atitude
GIL,01,Andar com fé
GIL,02,Aquele abraço
GIL,03,Aqui e agora
GIL,04,Barato total
GIL,05,Chororô
GIL,06,Cérebro eletrônico
GIL,07,Copo vazio
GIL,08,Cores vivas
GIL,09,Divino e maravilhoso
GIL,10,Eu vim da Bahia
GIL,11,Drão
GIL,12,Era nova
GIL,13,Extra
GIL,14,Flora
GIL,15,Ladeira da Preguiça
GIL,16,Lamento sertanejo
GIL,17,Lente do amor
GIL,18,Lugar comum
GIL,19,Mancada
GIL,20,Menina do sonho
GIL,21,Meu amigo, meu herói
GIL,22,Morena
GIL,23,O rouxinol
GIL,24,O sonho acabou
GIL,25,Palco
GIL,26,Pessoa nefasta
GIL,27,Preciso aprender a só ser
GIL,28,Procissão
GIL,29,Punk da periferia
GIL,30,Raça humana
GIL,31,Rebento
GIL,32,Refazenda
GIL,33,Sandra
GIL,34,Se eu quiser falar com Deus
GIL,35,Realce
GIL,36,Sítio do Picapau Amarelo
GIL,37,Bapa Alapala
GIL,38,Back in Bahia
GIL,39,Deixar você
GIL,40,Domingo no parque
GIL,41,Expresso 2222
GIL,42,Luar
GIL,43,Louvação
GIL,44,Meio de campo
GIL,45,Retiros espirituais
GIL,46,Sarará miolo
GIL,47,Soy loco por ti, América
GIL,48,Super-homem
GIL,49,Toda menina baiana
GIL,50,Vamos fugir
JAZZ,01,A Child is Born
JAZZ,02,A Foggy Day
JAZZ,03,A Night in Tunisia
JAZZ,04,Afternoon in Paris
JAZZ,05,All of Me
JAZZ,06,All the Things You Are
JAZZ,07,Anthropology
JAZZ,08,April in Paris
JAZZ,09,As Time Goes By
JAZZ,10,Bewitched
JAZZ,11,Bluesette
JAZZ,12,Blues for Alice
JAZZ,13,Body and Soul
JAZZ,14,Cottontail
JAZZ,15,Could It Be You
JAZZ,16,Countdown
JAZZ,17,Crystal Silence
JAZZ,18,Days of Wine and Roses
JAZZ,19,Dexterity
JAZZ,20,Dolphin Dance
JAZZ,21,The Duke
JAZZ,22,Easy to Love
JAZZ,23,Five Hundred Miles High
JAZZ,24,For Heaven's Sake
JAZZ,25,Four
JAZZ,26,Giant Steps
JAZZ,27,Goodbye Pork Pie Hat
JAZZ,28,Have You Met Miss Jones
JAZZ,29,How High the Moon
JAZZ,30,I Can't Get Started
JAZZ,31,I Love You
JAZZ,32,In a Sentimental Mood
JAZZ,33,In Your Own Sweet Way
JAZZ,34,Long Ago and Far Away
JAZZ,35,Night and Day
JAZZ,36,Peri's Scope
JAZZ,37,'Round Midnight
JAZZ,38,Time Remembered
JAZZ,39,Misty
JAZZ,40,Mood Indigo
JAZZ,41,My Funny Valentine
JAZZ,42,Ornithology
JAZZ,43,Pensativa
JAZZ,44,Played Twice
JAZZ,45,Prelude to a Kiss
JAZZ,46,Satin Doll
JAZZ,47,Semblance
JAZZ,48,The Shadow of Your Smile
JAZZ,49,The Song is You
JAZZ,50,The Sorcerer
JOBIM,01,Absolute Lee
JOBIM,02,Água de Beber
JOBIM,03,Ai, quem me dera
JOBIM,04,Ângela
JOBIM,05,Bebel
JOBIM,06,Bonita
JOBIM,07,Brigas nunca mais
JOBIM,08,Caminho de Pedra
JOBIM,09,Caminhos cruzados
JOBIM,10,Canção do amor demais
JOBIM,11,Chega de saudade
JOBIM,12,Corcovado
JOBIM,13,Demais
JOBIM,14,Derradeira primavera
JOBIM,15,Desafinado
JOBIM,16,Dindi
JOBIM,17,Discussão
JOBIM,18,É preciso dizer adeus
JOBIM,19,Ela é carioca
JOBIM,20,Engano
JOBIM,21,Este seu olhar
JOBIM,22,Estrada do Sol
JOBIM,23,Eu e o meu amor
JOBIM,24,Eu sei que vou te amar
JOBIM,25,Faz uma semana
JOBIM,26,Garota de Ipanema
JOBIM,27,Incerteza
JOBIM,28,Insensatez
JOBIM,29,Janelas abertas
JOBIM,30,Lamento no morro
JOBIM,31,Lígia
JOBIM,32,Luar e batucada
JOBIM,33,Luíza
JOBIM,34,Mágoa
JOBIM,35,Meditação
JOBIM,36,Modinha
JOBIM,37,O amor em paz
JOBIM,38,Pois é
JOBIM,39,Sabiá
JOBIM,40,Samba de uma nota só
JOBIM,41,Samba do avião
JOBIM,42,Se todos fossem iguais a você
JOBIM,43,Só danço samba
JOBIM,44,Só tinha de ser com você
JOBIM,45,Solidão
JOBIM,46,Tereza da praia
JOBIM,47,Triste
JOBIM,48,Vivo sonhando
JOBIM,49,Você vai ver
JOBIM,50,Wave
LINS,01,A cor do pôr do sol
LINS,02,A noite
LINS,03,Abre alas
LINS,04,Acaso
LINS,05,Agora
LINS,06,"Ai, ai, ai, ai"
LINS,07,Ainda te procuro
LINS,08,Amor
LINS,09,Anjo de mim
LINS,10,Aos nossos filhos
LINS,11,Bilhete
