corpus,musica,0,1,2,3,4,5,6,7,8,9,10,11
BOSCO,01,43,0,0,0,3,0,43,0,4,4,0,0
BOSCO,02,8,0,0,19,0,0,9,0,0,22,0,0
BOSCO,03,20,0,0,41,0,0,11,0,0,43,0,0
BOSCO,04,19,0,0,31,0,0,17,0,0,33,0,0
BOSCO,05,25,0,0,28,1,0,7,0,1,28,0,0
BOSCO,06,45,0,0,0,16,0,22,0,16,0,0,0
BOSCO,07,33,0,0,14,23,0,4,0,28,15,0,0
BOSCO,08,13,0,0,36,0,0,5,0,0,45,0,0
BOSCO,09,81,0,0,0,8,0,56,0,8,0,0,0
BOSCO,10,64,0,0,14,29,0,32,0,29,26,0,0
BOSCO,11,54,0,0,0,28,0,17,0,29,0,0,0
BOSCO,12,31,0,0,52,3,0,11,0,3,66,0,0
BOSCO,13,23,0,0,53,1,0,17,0,1,49,0,0
BOSCO,14,42,0,0,0,30,0,15,0,30,0,0,0
BOSCO,15,22,0,0,43,0,0,19,0,0,42,0,0
BOSCO,16,15,0,0,35,0,0,5,0,0,28,0,0
BOSCO,17,14,0,0,48,0,0,20,0,0,69,0,0
BOSCO,18,39,0,0,4,23,0,14,0,24,7,0,0
BOSCO,19,89,0,0,1,22,0,52,0,25,1,0,0
BOSCO,20,36,0,0,0,9,0,39,0,9,0,0,0
BOSCO,21,46,0,0,77,0,0,15,0,0,91,0,0
BOSCO,22,35,0,0,0,16,0,7,0,23,0,0,0
BOSCO,23,19,0,0,32,0,0,15,0,0,46,0,0
BOSCO,24,43,0,0,13,20,0,16,0,20,15,0,0
BOSCO,25,75,0,0,8,15,0,77,0,15,15,0,0
BOSCO,26,50,0,0,1,1,0,50,0,1,1,0,0
BOSCO,27,56,0,0,8,0,0,38,0,0,27,0,0
BOSCO,28,36,0,0,38,0,0,6,0,0,52,0,0
BOSCO,29,22,0,0,39,0,0,13,0,0,45,0,0
BOSCO,30,36,0,0,39,0,0,8,0,0,59,0,0
BOSCO,31,41,0,0,0,20,0,27,0,20,1,0,0
BOSCO,32,38,0,0,0,0,0,24,0,0,0,0,0
BOSCO,33,41,0,0,59,0,0,24,0,0,62,0,0
BOSCO,34,35,0,0,0,8,0,29,0,8,0,0,0
BOSCO,35,10,0,0,19,1,0,8,0,1,24,0,0
BOSCO,36,42,0,0,0,15,0,18,0,15,0,0,0
BOSCO,37,32,0,0,46,0,0,12,0,0,55,0,0
BOSCO,38,55,0,0,2,27,0,28,0,28,3,0,0
BOSCO,39,16,0,0,43,0,0,2,0,0,47,0,0
BOSCO,40,56,0,0,0,20,0,65,0,20,9,0,0
BOSCO,41,35,0,0,22,8,0,22,0,9,28,0,0
BOSCO,42,41,0,0,83,0,0,6,0,0,91,0,0
BOSCO,43,42,0,0,1,27,0,10,0,27,4,0,0
BOSCO,44,88,0,0,0,20,0,71,0,20,0,0,0
BOSCO,45,20,0,0,55,0,0,9,0,0,62,0,0
BOSCO,46,34,0,0,0,1,0,11,0,2,0,0,0
BOSCO,47,45,0,0,13,23,0,31,0,27,14,0,0
BOSCO,48,34,0,0,35,0,0,13,0,0,36,0,0
BOSCO,49,26,0,0,37,0,0,9,0,0,34,0,0
CAETANO,01,58,0,0,0,0,0,50,0,0,0,0,0
CAETANO,02,30,0,0,7,0,0,27,0,0,7,0,0
CAETANO,03,43,0,0,11,0,0,37,0,0,26,0,0
CAETANO,04,23,0,0,2,5,0,19,0,5,0,0,0
CAETANO,05,48,0,0,0,0,0,0,0,0,55,0,0
CAETANO,06,45,0,0,0,6,0,36,0,6,0,0,0
CAETANO,07,48,0,0,0,0,0,69,0,0,10,0,0
CAETANO,08,42,0,0,0,31,0,4,0,23,0,0,0
CAETANO,09,67,0,0,8,0,0,64,0,0,10,0,0
CAETANO,10,29,0,0,37,0,0,35,0,0,43,0,0
CAETANO,11,58,0,0,0,17,0,36,0,17,0,0,0
CAETANO,12,35,0,0,2,12,0,25,0,12,2,0,0
CAETANO,13,33,0,0,0,0,0,43,0,0,0,0,0
CAETANO,14,27,0,0,4,12,0,7,0,12,5,0,0
